Période;annee;Produit intérieur brut total - Volume aux prix de l'année précédente chaînés - Série CVS-CJO;Dépenses de consommation des ménages - Total – Volume aux prix courants - Série CVS-CJO;Dépenses de consommation des APU - Total – Volume aux prix courants - Série CVS-CJO;depconso_isblm;ln_consoisblm;Emplois salariés trimestriels - Construction en millier d'individu;Emplois salariés trimestriels – Industrie en millier d'individu;Emplois salariés trimestriels – Tertiaire et marchand en millier d'individu;FBCF de l'ensemble des secteurs institutionnels - Total - Volume aux prix de l'année précédente chaînés ;FBCF des APU - Total - Volume aux prix de l'année précédente chaînés ;FBCF des entreprises non financieres - Total - Volume aux prix de l'année précédente chaînés ;FBCF des menages - Total - Volume aux prix de l'année précédente chaînés ;TVA - Total - Valeur aux prix courants;Impots divers sur la production – Total-Valeur aux prix courants;TUC moyen industrie;ipc_moyen ;TVA déflaté;Impot sur la production déflaté;surface_aut_bureaux;surface_aut_commerce;surface_aut_industriel;surface_aut_ensemble;ca_industriemanuf;ca_construction;ca_commerce;ICC;tx_chomage;crise;surface_aut_public;surface_aut_action_sociale
2001-T3;2001;466284;239109;105882;8786;9.0809148245;1302.2;4116;10652.2;105422;19072;55184;27307;27260;11520;84.9;81.53;33435.5451980866;14129.7681834907;1381329;1264809;2854147;11829029;87.3633333333333;61.61;73.5066666666667;70.599999999999994;7.4;0;973056;128426
2001-T4;2001;466415;239402;106211;9039;9.1093038278;1309.8;4101.1;10688.2;104903;19179;54497;27517;27140;11510;84.2;81.5666666667;33273.395995096;14111.1565181855;1561073;1199740;3137991;11487264;86.0433333333333;66.83;74.2566666666667;70.299999999999997;7.5;0;1073225;203826
2002-T1;2002;467678;240505;106387;9342;9.1422756411;1309.4;4079.8;10749.7;103899;19069;53577;27742;27301;11542;84.1;82.1266666667;33242.5521552074;14053.900478935;1033199;1019931;2714281;9506396;86.4066666666667;58.9;74.23;71.5;7.5;0;805294;109929
2002-T2;2002;470197;241628;107247;9542;9.1634583861;1307.8;4056.1;10766.2;103381;19192;52807;27967;27533;11551;85.1;82.7733333333;33263.1282216495;13954.9774484536;1086113;1146277;2573010;10636829;86.61;69.07;75.1466666666667;71.799999999999997;7.5;0;844636;150562
2002-T3;2002;471900;243241;108082;9610;9.170559502;1311.4;4041.4;10785.8;104239;19273;53326;28186;27706;11616;84.1;82.9766666667;33390.109669385;13999.1162174105;1082515;1253061;2373012;10452666;86.8166666666667;67.6733333333333;75.7;72.200000000000003;7.5;0;920713;122995
2002-T4;2002;472103;244726;108769;9545;9.1637727362;1310.4;4017.6;10806;104741;19525;53285;28392;27873;11733;83.3;83.3166666667;33454.2908581716;14082.4164832967;1208306;1186975;2663753;10277015;87.24;70.1633333333333;76.5;72.299999999999997;7.6;0;1052002;164099
2003-T1;2003;472655;245370;108733;9374;9.1456951785;1311.3;3995.9;10798.6;105075;19748;53162;28493;28192;11636;83.4;84.07;33533.9597954086;13840.8469132865;1080909;1149879;2369668;9385789;87.86;63.02;77;73;8.0;0;853275;164665
2003-T2;2003;471652;245153;109459;9224;9.1295640619;1311.4;3973.5;10792.1;105128;20054;52689;28632;28076;11771;82.8;84.3566666667;33282.4910103924;13953.8467617655;1020193;1196913;2517151;10425840;86.49;71.3933333333333;76.5666666666667;74.200000000000003;8.1;0;1038712;134373
2003-T3;2003;474896;247606;109892;9122;9.1184443573;1314.9;3947.9;10785.4;106735;20228;53678;28911;28514;11931;82.7;84.58;33712.4615748404;14106.17167179;965905;1184312;2516089;10411229;86.8166666666667;70.9333333333333;77.35;74.200000000000003;8.0;0;1161032;185713
2003-T4;2003;478565;247774;110757;9068;9.1125070116;1322.6;3920.3;10820.1;107160;20386;53646;29161;28841;12239;82.3;85.1366666667;33876.1207470342;14375.7096433186;1148627;1419202;2275551;10082514;87.95;72.8833333333333;77.5433333333333;74.900000000000006;8.4;0;979950;197730
2004-T1;2004;482719;249308;111317;9055;9.1110723703;1331.3;3895.3;10817.5;108292;20556;54139;29578;29313;12405;82.7;85.5833333333;34250.8276533593;14494.6445959104;858896;1078368;1952090;8951789;88.5133333333333;68.2333333333333;79.02;75.599999999999994;8.6;0;1048000;151846
2004-T2;2004;485912;250613;111908;9051;9.1106305278;1339.8;3869.7;10848.1;109044;20687;54476;29879;29915;12594;82.6;86.3733333333;34634.5322630442;14580.889163322;976037;1181901;2255914;10271616;88.6466666666667;79.4666666666667;79.8833333333333;78.200000000000003;8.4;0;1185292;177652
2004-T3;2004;487616;250910;112265;9052;9.1107410068;1342.7;3846;10867.9;109477;20762;54694;30054;30153;12795;82.8;86.5133333333;34853.5871156662;14789.6278030361;1102199;1212074;2208135;10127444;89.0833333333333;77.3566666666667;80.1633333333333;78.5;8.5;0;1093535;186789
2004-T4;2004;491211;254300;112635;9056;9.1111828004;1350.3;3828.7;10914.8;110697;21109;55435;30286;30842;12667;82.9;86.9166666667;35484.5637583892;14573.7296260786;1112363;1335169;2199909;9661455;89.8366666666667;81.0633333333333;81.2433333333333;78.299999999999997;8.5;0;1084876;188622
2005-T1;2005;492405;255737;112908;9063;9.1119554701;1359.3;3801.2;10951.5;111386;21171;55872;30617;31144;13036;82.7;87.0566666667;35774.3998162116;14974.1547650955;1091183;1134333;2239224;9634436;90.3833333333333;73.2933333333333;81.54;78.400000000000006;8.3;0;1126419;181898
2005-T2;2005;493318;256686;113342;9077;9.1134990205;1372.4;3780.9;10977;112198;21299;56156;31122;31468;13200;82.6;87.8433333333;35822.8664668159;15026.7521724282;997488;1418651;2527555;11185530;89.1333333333333;87.0966666666666;82.1133333333333;78.700000000000003;8.4;0;1061642;223803
2005-T3;2005;495752;258063;113774;9096;9.1155900354;1384.3;3758.8;11008;113216;21402;56635;31448;31866;13343;82.8;88.14;36153.8461538462;15138.4161561153;1228751;1561405;2398916;11729813;91.23;83.2133333333333;83.2666666666667;78.900000000000006;8.6;0;1314021;193373
2005-T4;2005;499349;259897;113815;9121;9.1183347262;1401;3740.6;11054.5;113816;21112;56961;31866;32146;13459;82.4;88.3766666667;36373.8543356089;15229.1328782107;1288836;1478674;2352290;11029748;92.2733333333333;88.9333333333333;84.33;82.200000000000003;8.7;0;1401350;265179
2006-T1;2006;503403;262070;114566;9155;9.1220554571;1418.6;3726.5;11061.4;114519;20935;57091;32340;32514;13259;83.4;88.61;36693.3754655231;14963.3224241056;1354836;1456843;2469370;11239582;90.6833333333333;82.87;84.8266666666667;84;8.7;0;1181650;192592
2006-T2;2006;508491;263583;114978;9219;9.1290218508;1435;3715;11144.3;116853;20974;58709;32795;32953;13500;84.2;89.5233333333;36809.3979223294;15079.8674461034;1175744;1262379;2463642;11541433;95.7533333333333;93.81;86.5033333333333;84.299999999999997;8.6;0;1278560;230196
2006-T3;2006;508443;263276;115016;9317;9.1395959675;1450.1;3701.1;11204;117491;20934;59120;33011;33031;13765;85.1;89.6333333333;36851.2458162886;15357.0100409074;1390278;1586324;2468590;12096015;95.52;92.6033333333333;86.8966666666667;85.200000000000003;8.5;0;1611955;272252
2006-T4;2006;512247;265445;115703;9449;9.1536641948;1467.2;3682.2;11258.8;119438;21171;60552;33290;33195;14071;85.6;89.5366666667;37074.1967908864;15715.3493913108;1663262;1426768;2685368;12390820;95.82;100.31;87.5866666666667;86.700000000000003;8.0;0;1617313;300212
2007-T1;2007;516247;266798;116346;9585;9.1679546555;1483.5;3674.2;11372.9;121466;21516;62088;33611;33515;14121;84.8;89.64;37388.442659527;15753.0120481928;1459959;1381970;2741121;11628912;96.7266666666667;93.7933333333333;89.03;85.5;8.1;0;1447002;262835
2007-T2;2007;520185;269421;117038;9682;9.1780237705;1495.9;3665;11409.8;123027;21508;63527;33782;33988;14364;85.9;90.5733333333;37525.3937877227;15858.972471662;1382309;1343275;2619809;11844374;99.1633333333333;105.33;90.3533333333333;88.5;7.8;0;1133737;249406
2007-T3;2007;522042;271841;117467;9719;9.1818380115;1514.2;3649.6;11471.8;124541;21481;65056;33715;34376;14559;85.9;90.77;37871.5434614961;16039.4403437259;1543234;1623084;2885722;13078560;98.9066666666667;103.72;90.98;89;7.6;0;1274536;234642
2007-T4;2007;523202;272828;117704;9693;9.1791592545;1530.4;3638.7;11502.3;125092;21196;65778;33670;34662;14672;86.7;91.6366666667;37825.4701538685;16011.0581644902;1408067;1464592;2617246;11846204;100.773333333333;111.916666666667;92.6966666666667;90.900000000000006;7.1;0;1288984;221917
2008-T1;2008;525496;271538;117787;9625;9.1721191592;1535.3;3624.1;11581.1;126806;21212;67340;33587;34635;14434;86.4;92.2833333333;37531.1540545422;15640.9608091024;1376069;1214301;2393824;11044052;103.133333333333;103.413333333333;94.7166666666667;92.400000000000006;6.8;1;984945;191623
2008-T2;2008;523193;271890;117893;9596;9.169101624;1541;3603.9;11531.5;125618;20842;66976;33003;34825;14500;85.5;93.5666666667;37219.4513715711;15496.9718560741;1574593;1243706;2310338;12272701;103.886666666667;114.473333333333;94.7966666666667;96.400000000000006;7.0;1;1070701;204593
2008-T3;2008;521489;271749;118463;9625;9.1721191592;1546.9;3591.2;11493.8;124402;20797;66690;32040;34643;14674;84.9;93.72;36964.3619291507;15657.2769953052;1563845;1246829;2289977;12343472;104.11;111.223333333333;95.3666666666667;98.299999999999997;7.1;1;1169576;190152
2008-T4;2008;514060;270832;119487;9711;9.1810145426;1539.3;3562.7;11393.5;120575;21144;63993;30650;33634;14881;83.2;93.25;36068.6327077748;15958.1769436997;1517367;1492436;2134288;12263698;99.9466666666667;116.55;92.8633333333333;94;7.4;1;1204522;254341
2009-T1;2009;505538;270291;120150;9842;9.1944142214;1526.1;3515.6;11299.1;115648;21692;60246;29061;32808;15124;75.4;92.86;35330.6052121473;16286.8834805083;1340861;1389378;1225428;11133229;93.7966666666667;95.9833333333333;89.13;92.700000000000003;8.2;1;1324617;182705
